Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Coverage Includes (product.metafields.custom.coverage_includes),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
extended-front-end-ppf,Extended Front End PPF,<p>Comprehensive front and side protection. Precision-cut for your exact vehicle.</p>,My Store,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Wraps","",pre-cut-kit,true,Finish,Gloss,,,,,,,,,0.0,,0,deny,manual,899.00,,true,true,,,,,,,,,false,,,"Front Bumper
Bonnet
Headlights
Mirror Caps
Front Wings
Front A Pillar & Edge Of Roof
Front Doors
Skirts",,lb,,,active
extended-front-end-ppf,,,,,,,,,Matte,,,,,,,,,0.0,,0,deny,manual,899.00,,true,true,,,,,,,,,,,,,,lb,,,
front-end-ppf,Front End PPF,<p>Coverage for specific high-impact areas. Precision-cut for your exact vehicle.</p>,My Store,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Wraps","",pre-cut-kit,true,Finish,Gloss,,,,,,,,,0.0,,0,deny,manual,599.00,,true,true,,,,,"",,,,false,,,"Front Bumper
Bonnet
Headlights
Mirror Caps
Front Wings
Front A Pillar & Edge Of Roof",,lb,,,active
front-end-ppf,,,,,,,,,Matte,,,,,,,,,0.0,,0,deny,manual,599.00,,true,true,,,,,"",,,,,,,,,lb,,,
premium-full-car-cover,Premium Full Car Cover,<p>Complete protection for your entire vehicle. Precision-cut for your exact vehicle.</p>,My Store,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Wraps","",pre-cut-kit,true,Finish,Gloss,,,,,,,,,0.0,,0,deny,manual,1599.00,,true,true,,,,,,,,,false,,,"Front Bumper
Bonnet
Headlights
Mirror Caps
Front Wings
Front A Pillar & Edge Of Roof
Front Doors
Skirts
Rear Wings/Quarters
Rear Bumper
Boot/Tailgate
Roof",,lb,,,active
premium-full-car-cover,,,,,,,,,Matte,,,,,,,,,0.0,,0,deny,manual,1599.00,,true,true,,,,,,,,,,,,,,lb,,,
